,name,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Paint The Town Red,Scarlet,2023-09-22,230480,76,0.255,0.864,0.556,3.85e-06,0.112,-7.683,0.194,99.974,4
1,Demons,Scarlet,2023-09-22,195573,67,0.000156,0.831,0.362,0.0162,0.168,-6.085,0.229,139.941,4
2,Wet Vagina,Scarlet,2023-09-22,192240,65,0.0207,0.804,0.656,1.86e-05,0.107,-5.723,0.0896,150.014,4
3,Fuck The Girls (FTG),Scarlet,2023-09-22,152866,63,0.196,0.764,0.72,3.46e-05,0.111,-6.494,0.273,91.337,4
4,Ouchies,Scarlet,2023-09-22,122186,65,0.0194,0.854,0.808,2.41e-06,0.108,-5.958,0.139,110.203,4
5,97,Scarlet,2023-09-22,177666,62,0.184,0.564,0.796,0.0,0.147,-2.652,0.351,153.586,4
6,Gun,Scarlet,2023-09-22,176840,68,0.0695,0.885,0.576,0.000235,0.0993,-7.17,0.238,76.004,4
7,Go Off,Scarlet,2023-09-22,197493,67,0.027,0.933,0.533,0.00416,0.118,-8.0,0.0585,140.991,4
8,Shutcho,Scarlet,2023-09-22,187400,67,0.0343,0.763,0.441,0.0,0.132,-9.043,0.11,145.926,4
9,Agora Hills,Scarlet,2023-09-22,265360,91,0.228,0.75,0.674,8.91e-05,0.122,-6.128,0.097,123.026,4
10,Can't Wait,Scarlet,2023-09-22,235360,66,0.286,0.472,0.79,3.45e-06,0.0636,-4.337,0.322,77.908,4
11,Often,Scarlet,2023-09-22,198106,60,0.554,0.509,0.638,0.108,0.11,-5.516,0.475,171.817,4
12,Love Life,Scarlet,2023-09-22,236960,60,0.616,0.597,0.622,0.00299,0.121,-9.593,0.343,82.361,4
13,Skull And Bones,Scarlet,2023-09-22,248440,61,0.106,0.632,0.706,5.09e-05,0.143,-6.127,0.0987,85.0,4
14,Attention,Scarlet,2023-09-22,275506,62,0.13,0.758,0.587,0.0173,0.109,-6.932,0.244,87.997,4
15,Balut,Scarlet,2023-09-22,205453,59,0.183,0.778,0.626,0.127,0.177,-4.329,0.161,148.022,4
16,WYM Freestyle,Scarlet,2023-09-22,124106,64,0.00449,0.895,0.486,0.00733,0.119,-5.937,0.273,144.064,4
17,Woman,Planet Her (Deluxe),2021-06-27,172626,59,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,4
18,Naked,Planet Her (Deluxe),2021-06-27,223560,55,0.374,0.733,0.862,0.00247,0.131,-5.736,0.197,111.076,4
19,Payday (feat. Young Thug),Planet Her (Deluxe),2021-06-27,212946,52,0.0366,0.619,0.707,7.54e-05,0.13,-5.791,0.0499,168.995,4
20,Get Into It (Yuh),Planet Her (Deluxe),2021-06-27,138293,58,0.315,0.912,0.655,3.39e-05,0.0894,-6.029,0.162,91.942,4
21,Need to Know,Planet Her (Deluxe),2021-06-27,210560,58,0.304,0.664,0.609,0.0,0.0926,-6.509,0.0707,130.041,4
