,name,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Growin' Up and Gettin' Old,Gettin' Old,2023-03-24,233666,70,0.16,0.511,0.6,5.25e-06,0.114,-5.699,0.0268,146.051,4
1,Hannah Ford Road,Gettin' Old,2023-03-24,218173,63,0.000369,0.52,0.962,0.0,0.33,-5.506,0.0827,131.068,4
2,Back 40 Back,Gettin' Old,2023-03-24,185466,61,0.566,0.56,0.589,0.0,0.124,-6.849,0.0308,82.026,4
3,You Found Yours,Gettin' Old,2023-03-24,191986,68,0.00532,0.586,0.725,0.00173,0.228,-7.073,0.0254,94.995,4
4,"The Beer, the Band, and the Barstool",Gettin' Old,2023-03-24,217640,60,0.161,0.519,0.682,2.57e-05,0.113,-6.284,0.0321,78.933,4
5,Still,Gettin' Old,2023-03-24,203440,62,0.187,0.625,0.832,0.0,0.0913,-5.127,0.0563,106.971,4
6,See Me Now,Gettin' Old,2023-03-24,245706,63,0.00982,0.625,0.835,2.86e-05,0.173,-4.964,0.0295,141.972,4
7,Joe,Gettin' Old,2023-03-24,218533,62,0.0149,0.583,0.658,0.0,0.374,-6.62,0.0296,76.004,4
8,A Song Was Born,Gettin' Old,2023-03-24,189946,58,0.0364,0.583,0.787,6.86e-06,0.313,-4.23,0.0483,155.921,4
9,My Song Will Never Die,Gettin' Old,2023-03-24,246546,58,0.291,0.439,0.615,0.0,0.114,-5.742,0.032,144.199,4
10,Where the Wild Things Are,Gettin' Old,2023-03-24,239533,84,0.0189,0.708,0.731,4.47e-06,0.129,-4.872,0.0345,116.975,4
11,Love You Anyway,Gettin' Old,2023-03-24,229626,77,0.149,0.532,0.489,0.0,0.237,-7.419,0.0311,139.807,4
12,Take You With Me,Gettin' Old,2023-03-24,207080,62,0.137,0.568,0.732,0.0,0.0894,-6.062,0.0309,168.072,4
13,Fast Car,Gettin' Old,2023-03-24,265493,90,0.186,0.712,0.603,0.0,0.115,-5.52,0.0262,97.994,4
14,Tattoo on a Sunburn,Gettin' Old,2023-03-24,225693,61,0.0754,0.601,0.673,0.0,0.248,-5.418,0.027,143.958,4
15,5 Leaf Clover,Gettin' Old,2023-03-24,211053,73,0.0554,0.423,0.58,2.92e-06,0.168,-4.959,0.0243,82.755,3
16,Fox in the Henhouse,Gettin' Old,2023-03-24,235000,57,0.0138,0.493,0.759,1.32e-05,0.793,-5.203,0.0346,110.064,3
17,The Part,Gettin' Old,2023-03-24,202560,58,0.577,0.585,0.411,0.0,0.115,-6.319,0.0278,148.041,4
18,Doin' This,Growin' Up,2022-06-24,254173,68,0.166,0.588,0.55,8.67e-06,0.11,-5.878,0.0269,115.01,4
19,Any Given Friday Night,Growin' Up,2022-06-24,193920,62,0.0159,0.531,0.886,0.0,0.367,-3.878,0.0411,139.963,4
20,The Kind of Love We Make,Growin' Up,2022-06-24,224426,82,0.0226,0.608,0.745,6.47e-06,0.0942,-4.13,0.0277,102.025,4
21,On the Other Line,Growin' Up,2022-06-24,175560,56,0.0461,0.573,0.909,0.0,0.136,-4.864,0.0452,143.989,4
22,Outrunnin' Your Memory,Growin' Up,2022-06-24,254746,66,0.0974,0.601,0.836,0.0,0.106,-3.42,0.0342,127.934,4
23,Used To Wish I Was,Growin' Up,2022-06-24,178026,55,0.0349,0.521,0.756,0.0,0.0673,-4.891,0.0438,142.031,4
24,Better Back When,Growin' Up,2022-06-24,203773,54,0.0616,0.528,0.86,0.0,0.0909,-4.139,0.0347,143.934,4
25,Tomorrow Me,Growin' Up,2022-06-24,208733,59,0.144,0.54,0.694,0.0,0.197,-4.477,0.0275,146.148,4
26,Ain't Far From It,Growin' Up,2022-06-24,217253,54,0.0014,0.513,0.955,0.0,0.0463,-4.168,0.066,152.003,4
27,Call Me,Growin' Up,2022-06-24,200093,63,0.0121,0.529,0.779,0.0,0.323,-4.569,0.0359,133.958,4
28,Middle of Somewhere,Growin' Up,2022-06-24,200053,58,0.0578,0.559,0.547,0.0,0.112,-5.585,0.0264,133.923,4
29,"Going, Going, Gone",Growin' Up,2022-06-24,177266,79,0.538,0.565,0.56,0.0,0.0961,-6.034,0.0275,159.931,4
30,Beer Never Broke My Heart,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,186733,52,0.0139,0.538,0.863,0.0,0.0874,-4.483,0.0481,77.001,4
31,Refrigerator Door,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,204240,48,0.011,0.459,0.864,3.36e-06,0.314,-4.397,0.059,74.867,4
32,Even Though I'm Leaving,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,225253,51,0.225,0.554,0.755,0.0,0.301,-6.04,0.0319,77.962,4
33,Lovin' On You,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,194866,50,0.00165,0.572,0.949,0.000195,0.163,-4.865,0.06,118.974,4
34,Moon Over Mexico,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,204640,47,0.456,0.493,0.772,3.2e-06,0.107,-5.875,0.0452,140.996,4
35,"1, 2 Many",What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,180906,50,0.0397,0.54,0.821,0.0,0.423,-3.789,0.0873,148.798,4
36,Blue Collar Boys,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,219920,48,0.00807,0.531,0.813,0.0,0.359,-5.517,0.0327,154.134,4
37,New Every Day,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,199293,45,0.302,0.466,0.7,0.0,0.0798,-5.577,0.0431,77.087,4
38,Reasons,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,224293,46,0.056,0.446,0.851,1.91e-05,0.264,-4.74,0.0416,84.928,4
39,Every Little Bit Helps,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,247826,46,0.0121,0.552,0.876,0.0,0.152,-4.268,0.0437,121.979,4
40,Dear Today,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,219733,46,0.606,0.492,0.21,1.35e-06,0.109,-10.658,0.0359,153.017,4
41,What You See Is What You Get,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,171920,48,0.0645,0.593,0.805,0.0,0.226,-4.892,0.0347,103.949,4
42,Does To Me (feat. Eric Church),What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,223320,49,0.311,0.616,0.849,0.0,0.311,-4.897,0.0373,113.065,4
43,Angels Workin' Overtime,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,253786,45,0.188,0.639,0.972,3.6e-05,0.254,-3.993,0.073,129.999,4
44,All Over Again,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,208880,47,0.00563,0.499,0.85,0.0,0.226,-5.372,0.0808,156.964,4
45,Nothing Like You,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,196320,47,0.355,0.62,0.443,0.0,0.108,-7.984,0.028,141.984,4
46,Better Together,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,219573,52,0.827,0.552,0.225,0.0,0.111,-11.501,0.0477,138.002,4
47,Six Feet Apart,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,199066,47,0.325,0.576,0.582,0.0,0.276,-5.945,0.0269,77.955,4
48,Cold As You,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,186106,72,0.0527,0.598,0.846,0.0,0.113,-4.956,0.0355,144.04,4
49,The Other Guy,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,190720,62,0.216,0.567,0.726,0.0,0.12,-4.705,0.0309,141.92,4
50,My Kinda Folk,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,267306,54,0.00646,0.52,0.929,1.56e-06,0.345,-4.592,0.0451,148.147,4
51,Without You,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,224986,62,0.307,0.522,0.659,0.0,0.102,-6.016,0.0304,141.996,4
52,Forever After All,What You See Ain't Always What You Get (Deluxe Edition),2020-10-23,232533,80,0.191,0.487,0.65,0.0,0.0933,-5.195,0.0253,151.964,4
53,Beer Never Broke My Heart,What You See Is What You Get,2019-11-08,186733,80,0.0139,0.538,0.863,0.0,0.0874,-4.483,0.0481,77.001,4
54,Refrigerator Door,What You See Is What You Get,2019-11-08,204240,63,0.011,0.459,0.864,3.36e-06,0.314,-4.397,0.059,74.867,4
55,Even Though I'm Leaving,What You See Is What You Get,2019-11-08,225253,72,0.225,0.554,0.755,0.0,0.301,-6.04,0.0319,77.962,4
56,Lovin' On You,What You See Is What You Get,2019-11-08,194866,73,0.00165,0.572,0.949,0.000195,0.163,-4.865,0.06,118.974,4
57,Moon Over Mexico,What You See Is What You Get,2019-11-08,204640,60,0.456,0.493,0.772,3.2e-06,0.107,-5.875,0.0452,140.996,4
58,"1, 2 Many",What You See Is What You Get,2019-11-08,180906,74,0.0397,0.54,0.821,0.0,0.423,-3.789,0.0873,148.798,4
59,Blue Collar Boys,What You See Is What You Get,2019-11-08,219920,62,0.00807,0.531,0.813,0.0,0.359,-5.517,0.0327,154.134,4
60,New Every Day,What You See Is What You Get,2019-11-08,199293,53,0.302,0.466,0.7,0.0,0.0798,-5.577,0.0431,77.087,4
61,Reasons,What You See Is What You Get,2019-11-08,224293,56,0.056,0.446,0.851,1.91e-05,0.264,-4.74,0.0416,84.928,4
62,Every Little Bit Helps,What You See Is What You Get,2019-11-08,247826,55,0.0121,0.552,0.876,0.0,0.152,-4.268,0.0437,121.979,4
63,Dear Today,What You See Is What You Get,2019-11-08,219733,55,0.606,0.492,0.21,1.35e-06,0.109,-10.658,0.0359,153.017,4
64,What You See Is What You Get,What You See Is What You Get,2019-11-08,171920,67,0.0645,0.593,0.805,0.0,0.226,-4.892,0.0347,103.949,4
65,Does To Me (feat. Eric Church),What You See Is What You Get,2019-11-08,223320,70,0.311,0.616,0.849,0.0,0.311,-4.897,0.0373,113.065,4
66,Angels Workin' Overtime,What You See Is What You Get,2019-11-08,253786,52,0.188,0.639,0.972,3.6e-05,0.254,-3.993,0.073,129.999,4
67,All Over Again,What You See Is What You Get,2019-11-08,208880,59,0.00563,0.499,0.85,0.0,0.226,-5.372,0.0808,156.964,4
68,Nothing Like You,What You See Is What You Get,2019-11-08,196320,61,0.355,0.62,0.443,0.0,0.108,-7.984,0.028,141.984,4
69,Better Together,What You See Is What You Get,2019-11-08,219573,77,0.827,0.552,0.225,0.0,0.111,-11.501,0.0477,138.002,4
70,Six Feet Apart,What You See Is What You Get,2019-11-08,199068,58,0.335,0.565,0.598,0.0,0.124,-5.894,0.0276,155.814,4
71,Out There,This One's for You Too (Deluxe Edition),2018-06-01,203680,51,0.00325,0.435,0.838,3.1e-06,0.352,-4.478,0.0511,146.966,4
72,Memories Are Made Of,This One's for You Too (Deluxe Edition),2018-06-01,216666,55,0.0159,0.694,0.718,1.72e-06,0.287,-6.188,0.0322,121.074,4
73,Lonely One,This One's for You Too (Deluxe Edition),2018-06-01,206106,53,0.131,0.495,0.628,6.77e-06,0.104,-5.288,0.029,144.944,4
74,Beer Can,This One's for You Too (Deluxe Edition),2018-06-01,210920,51,0.0032,0.545,0.836,0.0,0.0737,-5.42,0.0453,147.983,4
75,Hurricane,This One's for You Too (Deluxe Edition),2018-06-01,222533,57,0.0153,0.464,0.813,0.0,0.254,-6.185,0.0416,75.977,4
76,One Number Away,This One's for You Too (Deluxe Edition),2018-06-01,221800,59,0.00585,0.544,0.781,0.0,0.191,-6.16,0.0311,144.072,4
77,Don't Tempt Me,This One's for You Too (Deluxe Edition),2018-06-01,211866,54,0.00965,0.557,0.844,0.0,0.0536,-4.623,0.0376,147.079,3
78,When It Rains It Pours,This One's for You Too (Deluxe Edition),2018-06-01,240760,56,0.013,0.551,0.801,6.03e-06,0.265,-5.069,0.0303,128.021,4
79,This One's for You,This One's for You Too (Deluxe Edition),2018-06-01,230240,51,0.444,0.439,0.497,1.46e-06,0.108,-7.811,0.0549,74.124,4
80,Be Careful What You Wish For,This One's for You Too (Deluxe Edition),2018-06-01,175493,51,0.0105,0.501,0.876,0.0,0.135,-4.792,0.0404,159.029,4
81,I Got Away with You,This One's for You Too (Deluxe Edition),2018-06-01,227560,54,0.151,0.523,0.467,0.0,0.132,-8.628,0.0297,74.462,4
82,Honky Tonk Highway,This One's for You Too (Deluxe Edition),2018-06-01,212080,54,0.0576,0.602,0.699,0.0,0.0932,-4.37,0.0347,131.977,4
83,"Houston, We Got a Problem",This One's for You Too (Deluxe Edition),2018-06-01,191986,72,0.0961,0.521,0.762,6.15e-06,0.395,-5.059,0.0362,143.866,4
84,Must've Never Met You,This One's for You Too (Deluxe Edition),2018-06-01,198880,72,0.00951,0.455,0.892,0.0,0.143,-3.218,0.0564,75.218,4
85,Beautiful Crazy,This One's for You Too (Deluxe Edition),2018-06-01,193200,84,0.676,0.551,0.402,0.0,0.0928,-7.431,0.0262,103.313,4
86,A Long Way,This One's for You Too (Deluxe Edition),2018-06-01,217280,60,0.0194,0.483,0.713,0.000144,0.316,-5.027,0.0295,161.903,4
