,name,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Flowers,Endless Summer Vacation,2023-08-18,200600,95,0.0584,0.706,0.691,6.99e-05,0.0232,-4.775,0.0633,118.048,4
1,Jaded,Endless Summer Vacation,2023-08-18,185933,78,0.0476,0.496,0.593,0.0,0.0909,-5.154,0.0285,91.038,4
2,Rose Colored Lenses,Endless Summer Vacation,2023-08-18,223786,70,0.0574,0.539,0.503,2.34e-05,0.0847,-5.338,0.0385,174.068,4
3,Used To Be Young,Endless Summer Vacation,2023-08-18,191185,83,0.6,0.451,0.632,0.0,0.139,-3.843,0.0475,147.06,4
4,Thousand Miles (feat. Brandi Carlile),Endless Summer Vacation,2023-08-18,231000,69,0.205,0.503,0.722,3.52e-05,0.0845,-7.595,0.103,172.006,4
5,You,Endless Summer Vacation,2023-08-18,179426,67,0.288,0.625,0.568,0.0,0.674,-5.663,0.0324,85.545,3
6,Handstand,Endless Summer Vacation,2023-08-18,205240,62,0.089,0.414,0.881,0.000149,0.0868,-5.826,0.239,183.925,4
7,River,Endless Summer Vacation,2023-08-18,162973,73,0.000525,0.613,0.803,0.000333,0.189,-5.171,0.0367,127.989,4
8,Violet Chemistry,Endless Summer Vacation,2023-08-18,246306,64,0.00265,0.642,0.715,0.0,0.094,-5.711,0.0385,119.938,4
9,Muddy Feet (feat. Sia),Endless Summer Vacation,2023-08-18,136946,65,0.076,0.548,0.779,0.000494,0.19,-4.737,0.109,172.083,4
10,Wildcard,Endless Summer Vacation,2023-08-18,193120,63,0.116,0.723,0.676,0.135,0.109,-6.266,0.0505,109.997,4
11,Island,Endless Summer Vacation,2023-08-18,239573,67,0.336,0.657,0.784,0.000671,0.673,-6.374,0.0422,81.975,4
12,Wonder Woman,Endless Summer Vacation,2023-08-18,185266,61,0.939,0.443,0.226,0.0,0.0797,-7.776,0.0354,72.851,4
13,Flowers (Demo),Endless Summer Vacation,2023-08-18,210826,62,0.962,0.672,0.159,1.83e-05,0.106,-8.76,0.0343,113.218,4
14,ATTENTION,ATTENTION: MILEY LIVE,2022-04-29,95525,44,0.00824,0.49,0.731,0.0128,0.585,-10.884,0.211,119.941,4
15,We Can't Stop X Where Is My Mind? - Live,ATTENTION: MILEY LIVE,2022-04-29,334991,51,0.0127,0.333,0.9,0.0,0.662,-4.107,0.0884,166.235,4
16,Plastic Hearts - Live,ATTENTION: MILEY LIVE,2022-04-29,206734,48,0.0235,0.485,0.892,2.15e-05,0.863,-4.036,0.0639,88.025,4
17,Heart of Glass - Live,ATTENTION: MILEY LIVE,2022-04-29,187512,49,0.0263,0.487,0.973,0.00646,0.976,-4.511,0.106,114.928,4
18,4x4 - Live,ATTENTION: MILEY LIVE,2022-04-29,180400,45,0.0299,0.722,0.904,0.0,0.499,-4.982,0.0412,116.019,4
19,(SMS) Bangerz - Live,ATTENTION: MILEY LIVE,2022-04-29,200153,43,0.0272,0.624,0.935,3.37e-05,0.763,-4.672,0.176,139.052,4
20,Dooo It! - Live,ATTENTION: MILEY LIVE,2022-04-29,68680,41,0.0251,0.633,0.912,0.000184,0.205,-4.956,0.301,172.13,4
21,23 - Live,ATTENTION: MILEY LIVE,2022-04-29,534336,44,0.165,0.549,0.788,0.0,0.791,-5.524,0.142,140.045,4
22,Never Be Me - Live,ATTENTION: MILEY LIVE,2022-04-29,213811,46,0.017,0.379,0.83,0.0,0.747,-4.342,0.0485,82.802,4
23,Maybe - Live,ATTENTION: MILEY LIVE,2022-04-29,247474,45,0.0238,0.39,0.721,1.59e-06,0.5,-5.258,0.0809,82.36,3
24,7 Things - Live,ATTENTION: MILEY LIVE,2022-04-29,220353,45,0.0512,0.499,0.958,4.83e-06,0.902,-4.061,0.0673,104.038,4
25,Bang Bang X See You Again - Live,ATTENTION: MILEY LIVE,2022-04-29,272884,49,0.023,0.295,0.88,9.71e-06,0.719,-5.041,0.086,140.911,4
26,Jolene - Live,ATTENTION: MILEY LIVE,2022-04-29,266989,65,0.0181,0.431,0.783,0.0,0.836,-5.879,0.14,107.861,4
27,High - Live,ATTENTION: MILEY LIVE,2022-04-29,209273,45,0.0114,0.366,0.786,0.0,0.838,-5.412,0.041,145.968,4
28,You - Live,ATTENTION: MILEY LIVE,2022-04-29,181093,54,0.333,0.447,0.539,0.0,0.892,-5.051,0.0317,113.225,4
29,Like a Prayer - Live,ATTENTION: MILEY LIVE,2022-04-29,207879,66,0.0184,0.49,0.913,4.95e-05,0.827,-4.004,0.0468,112.137,4
30,Edge of Midnight (Midnight Sky Remix) - Live,ATTENTION: MILEY LIVE,2022-04-29,220246,46,0.0823,0.56,0.871,0.0,0.698,-4.517,0.0431,109.963,4
31,The Climb - Live,ATTENTION: MILEY LIVE,2022-04-29,360520,51,0.00443,0.199,0.934,0.00017,0.809,-4.725,0.112,160.885,4
32,Wrecking Ball X Nothing Compares 2 U - Live,ATTENTION: MILEY LIVE,2022-04-29,313036,56,0.0307,0.459,0.635,0.0,0.291,-4.582,0.0312,119.658,4
33,Party In The USA - Live,ATTENTION: MILEY LIVE,2022-04-29,420791,46,0.00268,0.348,0.953,5.48e-05,0.852,-4.223,0.0813,99.566,4
34,WTF Do I Know - Live,ATTENTION: MILEY LIVE,2022-04-29,179706,41,0.00244,0.468,0.938,0.000372,0.97,-3.791,0.161,158.112,4
35,Mother's Daughter X Boys Don't Cry (feat. Anitta) - Live,ATTENTION: MILEY LIVE,2022-04-29,321266,50,0.000337,0.28,0.885,1.14e-05,0.972,-3.948,0.114,163.895,4
36,You (Take 2) - Live,ATTENTION: MILEY LIVE,2022-04-29,189743,40,0.161,0.397,0.618,0.0,0.837,-5.044,0.0308,110.197,4
37,Nothing Breaks Like a Heart - Live,ATTENTION: MILEY LIVE,2022-04-29,234657,47,0.000965,0.46,0.916,9.78e-06,0.917,-4.297,0.0564,113.465,4
38,Angels Like You - Live,ATTENTION: MILEY LIVE,2022-04-29,250387,45,0.00577,0.464,0.871,0.0,0.96,-4.67,0.0595,123.923,4
39,Fly On The Wall - Live,ATTENTION: MILEY LIVE,2022-04-29,183383,41,0.000152,0.528,0.964,0.000569,0.973,-5.104,0.0713,144.079,4
40,WTF Do I Know,Plastic Hearts,2020-11-27,171800,63,0.00255,0.564,0.849,0.0,0.269,-2.619,0.248,157.905,4
41,Plastic Hearts,Plastic Hearts,2020-11-27,205733,70,0.0511,0.551,0.756,0.0,0.0765,-4.948,0.0652,175.984,4
42,Angels Like You,Plastic Hearts,2020-11-27,196453,88,0.0981,0.672,0.642,0.0,0.1,-4.035,0.0313,121.981,4
43,Prisoner (feat. Dua Lipa),Plastic Hearts,2020-11-27,169333,80,0.0103,0.781,0.67,0.0,0.0761,-3.912,0.0452,127.99,4
44,Gimme What I Want,Plastic Hearts,2020-11-27,151720,62,0.0428,0.659,0.765,0.0,0.0783,-5.392,0.0591,89.983,4
45,Night Crawling (feat. Billy Idol),Plastic Hearts,2020-11-27,189013,62,0.0378,0.638,0.918,0.00805,0.0948,-4.368,0.0382,134.022,4
46,Midnight Sky,Plastic Hearts,2020-11-27,223280,77,0.00161,0.699,0.805,0.00177,0.249,-5.535,0.0345,109.976,4
47,High,Plastic Hearts,2020-11-27,196760,59,0.00481,0.474,0.54,1.03e-05,0.299,-6.862,0.035,72.995,4
48,Hate Me,Plastic Hearts,2020-11-27,157800,59,0.0244,0.652,0.597,0.00103,0.238,-6.536,0.0286,90.022,4
49,Bad Karma (feat. Joan Jett),Plastic Hearts,2020-11-27,188200,58,0.0301,0.82,0.568,0.0092,0.169,-6.963,0.0538,113.941,4
50,Never Be Me,Plastic Hearts,2020-11-27,215520,63,0.0578,0.475,0.565,4.84e-05,0.341,-7.853,0.0378,165.091,4
51,Golden G String,Plastic Hearts,2020-11-27,235746,55,0.348,0.537,0.506,0.0,0.0786,-6.139,0.0334,105.292,3
52,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),Plastic Hearts,2020-11-27,220636,67,0.0291,0.681,0.737,7.16e-06,0.0856,-5.246,0.0384,109.95,4
53,Heart Of Glass (Live from the iHeart Festival),Plastic Hearts,2020-11-27,213671,71,0.000335,0.58,0.908,4.84e-05,0.087,-5.303,0.0341,115.016,4
54,Zombie (Live from the NIVA Save Our Stages Festival),Plastic Hearts,2020-11-27,290767,63,0.000206,0.407,0.872,0.0451,0.127,-5.001,0.0354,164.0,4
55,Mother's Daughter,SHE IS COMING,2019-05-31,219080,69,0.00461,0.682,0.866,0.00147,0.149,-4.132,0.0588,91.017,4
56,Unholy,SHE IS COMING,2019-05-31,130186,60,0.0357,0.824,0.534,3.62e-06,0.0877,-4.679,0.0363,141.984,4
57,D.R.E.A.M. (feat. Ghostface Killah),SHE IS COMING,2019-05-31,168346,52,0.185,0.686,0.637,1.91e-05,0.0943,-5.127,0.26,160.029,4
58,Cattitude (feat. RuPaul),SHE IS COMING,2019-05-31,189973,48,0.00766,0.801,0.843,0.000919,0.385,-5.698,0.191,121.065,4
59,Party Up The Street,SHE IS COMING,2019-05-31,217253,52,0.41,0.745,0.615,0.00636,0.438,-7.325,0.0713,100.986,4
60,The Most,SHE IS COMING,2019-05-31,221720,55,0.449,0.571,0.613,0.0032,0.122,-6.887,0.0292,100.051,4
61,Slide Away,SHE IS COMING,2019-05-31,233654,72,0.173,0.534,0.538,2.82e-06,0.248,-6.673,0.0327,148.016,4
62,Younger Now,Younger Now,2017-09-29,248773,58,0.00129,0.548,0.873,4.55e-05,0.138,-4.881,0.0618,121.918,4
63,Malibu,Younger Now,2017-09-29,231906,77,0.0767,0.573,0.781,2.64e-05,0.0813,-6.406,0.0555,139.934,4
64,Rainbowland (feat. Dolly Parton),Younger Now,2017-09-29,265373,46,0.0789,0.572,0.586,0.0,0.0736,-6.665,0.0441,108.033,4
65,Week Without You,Younger Now,2017-09-29,224373,45,0.000448,0.456,0.633,0.0361,0.58,-6.249,0.0375,89.896,4
66,Miss You So Much,Younger Now,2017-09-29,293746,46,0.0248,0.394,0.506,7.12e-06,0.372,-5.135,0.0303,98.32,4
67,I Would Die For You,Younger Now,2017-09-29,173866,57,0.18,0.618,0.374,0.0,0.182,-7.524,0.0298,95.92,4
68,Thinkin',Younger Now,2017-09-29,245053,42,0.0052,0.846,0.706,3.93e-05,0.329,-3.48,0.031,115.041,4
69,Bad Mood,Younger Now,2017-09-29,179120,46,0.144,0.562,0.684,0.0,0.133,-5.285,0.0349,153.99,4
70,Love Someone,Younger Now,2017-09-29,199493,43,0.00496,0.678,0.845,1.29e-05,0.0572,-3.636,0.0329,99.078,4
71,She's Not Him,Younger Now,2017-09-29,213960,44,0.0992,0.502,0.407,0.0,0.116,-6.331,0.0279,75.945,4
72,Inspired,Younger Now,2017-09-29,201160,43,0.464,0.55,0.518,0.0,0.125,-6.055,0.0253,103.955,4
73,Dooo It!,Miley Cyrus & Her Dead Petz,2015-08-30,218586,43,0.00296,0.6,0.611,0.000112,0.38,-6.43,0.231,172.103,4
74,Karen Don't Be Sad,Miley Cyrus & Her Dead Petz,2015-08-30,292506,40,0.575,0.325,0.661,1.95e-05,0.128,-6.214,0.0372,74.538,4
75,The Floyd Song (Sunrise),Miley Cyrus & Her Dead Petz,2015-08-30,316493,37,0.167,0.297,0.473,0.0201,0.171,-8.016,0.0309,186.105,4
76,Something About Space Dude,Miley Cyrus & Her Dead Petz,2015-08-30,208813,36,0.718,0.662,0.32,0.17,0.115,-12.017,0.0284,92.979,4
77,Space Bootz,Miley Cyrus & Her Dead Petz,2015-08-30,279786,45,0.00508,0.521,0.649,0.0,0.0494,-5.694,0.0367,81.036,4
78,Fucking Fucked Up,Miley Cyrus & Her Dead Petz,2015-08-30,50466,35,0.521,0.87,0.678,0.00923,0.378,-7.645,0.0323,108.838,4
79,BB Talk,Miley Cyrus & Her Dead Petz,2015-08-30,272813,44,0.0159,0.58,0.792,0.0,0.0684,-5.94,0.0492,100.061,4
80,Fweaky,Miley Cyrus & Her Dead Petz,2015-08-30,227546,38,0.164,0.508,0.449,0.0,0.172,-9.446,0.0378,103.381,4
81,Bang Me Box,Miley Cyrus & Her Dead Petz,2015-08-30,221706,40,0.00109,0.755,0.586,6.88e-05,0.0972,-4.512,0.0286,107.189,4
82,Milky Milky Milk,Miley Cyrus & Her Dead Petz,2015-08-30,287106,35,0.0218,0.423,0.725,0.00132,0.122,-6.906,0.0821,191.71,4
83,Slab of Butter (Scorpion) (feat. Sarah Barthel),Miley Cyrus & Her Dead Petz,2015-08-30,301106,38,0.00991,0.44,0.652,0.00102,0.0891,-6.448,0.0638,134.429,4
84,I'm So Drunk,Miley Cyrus & Her Dead Petz,2015-08-30,46506,36,0.00632,0.766,0.581,0.000472,0.298,-10.087,0.0584,131.987,3
85,I Forgive Yiew,Miley Cyrus & Her Dead Petz,2015-08-30,194373,35,0.0194,0.657,0.55,0.0,0.166,-7.934,0.114,131.902,4
86,I Get So Scared,Miley Cyrus & Her Dead Petz,2015-08-30,233266,39,0.663,0.557,0.645,0.000136,0.137,-5.965,0.041,149.534,4
87,Lighter,Miley Cyrus & Her Dead Petz,2015-08-30,319106,38,0.269,0.667,0.451,2.83e-05,0.0928,-8.659,0.0565,89.995,4
88,Tangerine (feat. Big Sean),Miley Cyrus & Her Dead Petz,2015-08-30,305826,34,0.256,0.622,0.386,3.15e-06,0.13,-10.472,0.0284,132.136,4
89,Tiger Dreams (feat. Ariel Pink),Miley Cyrus & Her Dead Petz,2015-08-30,352080,36,0.432,0.526,0.473,0.815,0.109,-11.613,0.0331,135.03,4
90,Evil is but a Shadow,Miley Cyrus & Her Dead Petz,2015-08-30,275440,33,0.128,0.626,0.56,0.532,0.189,-11.396,0.0344,149.967,4
