,name,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,205483,86,0.855,0.518,0.368,4.9e-06,0.119,-7.76,0.0353,141.934,4
1,The Hanging Tree - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,143988,67,0.893,0.433,0.155,0.0,0.137,-12.474,0.0442,134.204,5
2,Wool - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,229357,64,0.894,0.6,0.274,0.0194,0.11,-13.642,0.0316,111.672,4
3,Nothing You Can Take From Me - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,95482,62,0.803,0.501,0.251,0.0,0.924,-15.715,0.707,133.081,5
4,The Garden - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,222326,58,0.757,0.606,0.386,7.83e-06,0.109,-8.325,0.0276,129.826,3
5,The Ballad of Lucy Gray Baird - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,139091,72,0.917,0.466,0.172,0.0,0.158,-9.058,0.0369,81.326,3
6,Bury Me Beneath The Willow - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,222089,58,0.86,0.563,0.495,1.33e-05,0.334,-7.839,0.029,89.998,4
7,The Old Therebefore / Singing at Snakes - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,168929,64,0.86,0.405,0.116,2.42e-06,0.111,-13.715,0.0325,70.086,3
8,Burn Me Once - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,200021,56,0.839,0.736,0.202,0.0,0.107,-10.286,0.0334,114.351,4
9,District 12 Stomp - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,43406,57,0.572,0.636,0.694,0.99,0.215,-8.083,0.059,105.359,4
10,Nothing You Can Take From Me (Boot-Stompin' Version) - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,193591,74,0.671,0.504,0.676,0.000697,0.0876,-8.035,0.0769,104.128,4
11,Cabin Song - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,206930,58,0.0572,0.578,0.619,0.000143,0.23,-7.712,0.0293,132.361,4
