,name,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Fear and Friday's (Poem),Zach Bryan,2023-08-25,107266,68,0.841,0.6,0.41,0.0,0.433,-10.788,0.395,104.337,4
1,Overtime,Zach Bryan,2023-08-25,190946,72,0.0217,0.377,0.72,0.00919,0.138,-7.086,0.0364,142.212,4
2,Summertime's Close,Zach Bryan,2023-08-25,186186,73,0.607,0.469,0.208,1.72e-06,0.127,-9.022,0.0448,81.098,4
3,East Side of Sorrow,Zach Bryan,2023-08-25,209320,78,0.236,0.408,0.607,8.02e-05,0.0972,-7.463,0.0391,144.136,4
4,Hey Driver (feat. The War and Treaty),Zach Bryan,2023-08-25,227466,86,0.494,0.583,0.351,0.0,0.368,-5.836,0.0306,79.014,4
5,Fear and Friday's,Zach Bryan,2023-08-25,171426,76,0.0541,0.523,0.636,2.63e-06,0.0716,-5.813,0.0582,128.785,4
6,Ticking,Zach Bryan,2023-08-25,242200,71,0.718,0.494,0.328,2.91e-06,0.0744,-8.553,0.034,121.834,5
7,Holy Roller (feat. Sierra Ferrell),Zach Bryan,2023-08-25,216026,72,0.678,0.415,0.404,1.95e-05,0.28,-9.331,0.0393,81.202,4
8,Jake's Piano - Long Island,Zach Bryan,2023-08-25,319195,69,0.782,0.435,0.401,0.000676,0.113,-7.885,0.0434,84.001,4
9,El Dorado,Zach Bryan,2023-08-25,182855,71,0.678,0.351,0.593,5.54e-05,0.117,-5.549,0.0267,92.263,4
10,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,2023-08-25,227195,94,0.554,0.429,0.453,2e-06,0.102,-7.746,0.0459,77.639,4
11,Tourniquet,Zach Bryan,2023-08-25,189053,84,0.684,0.593,0.397,7.44e-06,0.0982,-8.309,0.0329,76.703,4
12,Spotless (feat. The Lumineers),Zach Bryan,2023-08-25,169467,83,0.409,0.604,0.444,0.0,0.0837,-7.695,0.0698,72.129,4
13,Tradesman,Zach Bryan,2023-08-25,187729,69,0.85,0.533,0.389,0.0012,0.104,-8.428,0.051,76.77,3
14,Smaller Acts,Zach Bryan,2023-08-25,187270,73,0.776,0.595,0.41,4.27e-06,0.224,-5.079,0.0257,83.308,4
15,Oklahoman Son,Zach Bryan,2023-08-25,249452,68,0.819,0.635,0.114,6.35e-06,0.0797,-12.176,0.0522,72.401,1
16,"Country Roads (with Charles Wesley Godwin, Jonathan Peyton & Abigail Peyton) - Live",All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,208860,57,0.251,0.357,0.867,0.0,0.827,-4.253,0.0797,92.293,4
17,Open the Gate - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,252888,57,0.0298,0.314,0.893,1.45e-06,0.893,-4.717,0.0975,154.968,4
18,God Speed - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,254215,57,0.572,0.366,0.699,0.0,0.977,-4.864,0.0413,80.964,4
19,Highway Boys - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,219186,54,0.56,0.442,0.701,0.0,0.939,-5.243,0.0475,82.271,4
20,Condemned - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,190703,54,0.185,0.477,0.942,0.0,0.963,-4.134,0.144,129.055,4
21,Oklahoma City - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,271089,54,0.668,0.451,0.629,0.0,0.696,-6.533,0.053,128.815,4
22,Quittin' Time - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,237366,55,0.209,0.363,0.911,8.3e-05,0.757,-5.521,0.149,159.03,4
23,No Cure - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,172518,53,0.0853,0.345,0.904,0.0,0.765,-4.371,0.137,134.875,4
24,Sweet DeAnn - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,184851,54,0.821,0.416,0.4,0.0,0.807,-8.259,0.0292,82.105,4
25,Heading South - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,208752,55,0.401,0.352,0.839,0.0,0.726,-4.905,0.0663,113.13,4
26,The Good I'll Do - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,201050,53,0.789,0.367,0.494,0.0,0.758,-6.305,0.0407,123.416,4
27,Flying or Crying - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,182363,52,0.379,0.445,0.872,0.0,0.746,-4.011,0.0747,118.777,4
28,From Austin - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,196376,52,0.713,0.348,0.8,6.57e-06,0.858,-4.837,0.0717,120.665,4
29,Traveling Man - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,220462,52,0.651,0.307,0.543,0.0,0.95,-6.147,0.0293,88.168,4
30,'68 Fastback - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,204809,53,0.71,0.34,0.58,0.0,0.33,-6.414,0.0378,182.078,3
31,Snow - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,190441,55,0.837,0.351,0.454,0.0,0.727,-6.146,0.0298,82.812,4
32,Something in the Orange - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,271882,55,0.678,0.228,0.54,1.07e-05,0.877,-5.679,0.031,85.794,1
33,Oklahoma Smokeshow - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,213552,54,0.595,0.424,0.711,0.0,0.801,-5.426,0.0403,126.446,4
34,Billy Stay - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,280564,52,0.306,0.406,0.793,0.0,0.976,-5.397,0.0662,102.407,4
35,Jamie (with Charles Wesley Godwin) - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,212837,52,0.447,0.356,0.459,0.0,0.97,-6.676,0.0276,93.033,4
36,Heavy Eyes - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,233704,52,0.106,0.375,0.909,0.0,0.809,-4.356,0.111,130.23,4
37,"Burn, Burn, Burn - Live",All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,253609,56,0.824,0.395,0.609,0.0,0.742,-6.902,0.0472,88.318,4
38,November Air - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,265560,51,0.863,0.383,0.526,0.0,0.962,-6.84,0.0338,133.988,4
39,Revival - Live,All My Homies Hate Ticketmaster (Live from Red Rocks),2022-12-25,716907,57,0.0772,0.201,0.959,0.000116,0.961,-3.806,0.144,154.467,4
40,Late July,American Heartbreak,2022-05-20,178019,65,0.736,0.532,0.354,0.0,0.11,-8.938,0.0504,151.266,4
41,Something in the Orange - Z&E's Version,American Heartbreak,2022-05-20,254258,67,0.416,0.594,0.382,0.0,0.117,-5.432,0.0292,110.237,4
42,Heavy Eyes,American Heartbreak,2022-05-20,190780,75,0.032,0.471,0.912,0.0,0.343,-3.032,0.0724,139.667,4
43,Mine Again,American Heartbreak,2022-05-20,224187,70,0.0441,0.494,0.653,1.42e-05,0.0898,-6.493,0.0632,153.97,4
44,Happy Instead,American Heartbreak,2022-05-20,249159,62,0.582,0.499,0.575,0.0,0.206,-3.977,0.0298,91.317,4
45,Right Now the Best,American Heartbreak,2022-05-20,190032,60,0.668,0.494,0.584,0.0,0.279,-2.478,0.0315,114.091,4
46,The Outskirts,American Heartbreak,2022-05-20,198121,61,0.737,0.473,0.536,0.0,0.156,-4.139,0.046,140.805,4
47,Younger Years,American Heartbreak,2022-05-20,205224,62,0.291,0.357,0.741,0.00011,0.149,-4.522,0.135,169.541,4
48,Cold Damn Vampires,American Heartbreak,2022-05-20,292027,64,0.732,0.423,0.415,1.14e-06,0.117,-7.104,0.0314,143.206,4
49,Tishomingo,American Heartbreak,2022-05-20,188882,73,0.309,0.56,0.576,2.08e-05,0.0988,-6.92,0.03,133.491,4
50,She's Alright,American Heartbreak,2022-05-20,229061,67,0.665,0.406,0.439,2.46e-06,0.69,-8.129,0.0494,148.181,4
51,You Are My Sunshine,American Heartbreak,2022-05-20,177867,59,0.711,0.544,0.328,3.4e-05,0.14,-12.303,0.0454,97.372,4
52,Darling,American Heartbreak,2022-05-20,237818,63,0.454,0.405,0.283,0.0,0.112,-7.218,0.0378,172.746,4
53,Ninth Cloud,American Heartbreak,2022-05-20,203845,59,0.0816,0.53,0.752,0.0,0.152,-4.163,0.0495,110.407,4
54,Oklahoma City,American Heartbreak,2022-05-20,240535,64,0.398,0.578,0.448,0.0,0.13,-6.265,0.0358,120.67,4
55,Sun to Me,American Heartbreak,2022-05-20,163031,83,0.593,0.505,0.27,0.0,0.133,-9.165,0.0333,98.721,4
56,Highway Boys,American Heartbreak,2022-05-20,220035,69,0.125,0.484,0.362,1.39e-05,0.103,-8.989,0.05,153.911,4
57,Whiskey Fever,American Heartbreak,2022-05-20,212711,64,0.369,0.501,0.811,0.0,0.372,-4.313,0.0834,83.695,4
58,Billy Stay,American Heartbreak,2022-05-20,316507,60,0.523,0.556,0.435,1.19e-06,0.108,-5.148,0.0272,91.939,4
59,Sober Side of Sorry,American Heartbreak,2022-05-20,213015,61,0.00345,0.634,0.646,5.75e-06,0.123,-4.782,0.0291,117.386,4
60,High Beams,American Heartbreak,2022-05-20,200934,57,0.0216,0.529,0.663,1.05e-05,0.112,-4.761,0.0384,150.857,4
61,The Good I'll Do,American Heartbreak,2022-05-20,211315,77,0.82,0.434,0.215,0.0,0.456,-8.478,0.0417,118.152,4
62,Someday (Maggie's),American Heartbreak,2022-05-20,265579,64,0.708,0.4,0.363,0.0,0.161,-7.049,0.0364,109.065,4
63,Poems and Closing Time,American Heartbreak,2022-05-20,161201,67,0.233,0.65,0.585,0.0,0.11,-6.225,0.0391,127.84,4
64,From Austin,American Heartbreak,2022-05-20,207453,81,0.633,0.5,0.485,1.26e-06,0.107,-7.94,0.0422,109.755,4
65,If She Wants a Cowboy,American Heartbreak,2022-05-20,192293,67,0.0201,0.553,0.823,0.0,0.111,-3.194,0.0689,133.781,4
66,Corinthians (Proctor's),American Heartbreak,2022-05-20,231187,59,0.47,0.58,0.45,0.0,0.154,-5.475,0.0483,94.483,4
