,name,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,212600,70,0.00942,0.757,0.61,3.66e-05,0.367,-4.84,0.0327,116.998,4
1,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,231833,71,0.0885,0.733,0.733,0.0,0.168,-5.376,0.067,96.057,4
2,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,231000,73,0.000421,0.511,0.822,0.0197,0.0899,-4.785,0.0397,94.868,4
3,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,235800,71,0.000537,0.545,0.885,5.59e-05,0.385,-5.968,0.0447,92.021,4
4,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,193289,70,0.000656,0.588,0.721,0.0,0.131,-5.579,0.0317,96.997,4
5,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,219209,70,0.0121,0.636,0.808,2.18e-05,0.359,-5.693,0.0729,160.058,4
6,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,207650,69,0.00354,0.67,0.858,1.25e-05,0.0687,-6.528,0.0439,118.009,4
7,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,211103,69,0.0362,0.618,0.683,0.0,0.305,-6.438,0.194,169.971,4
8,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,220433,70,0.0436,0.589,0.674,7.18e-05,0.112,-7.48,0.0656,139.985,4
9,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,247533,69,0.00196,0.758,0.691,1.09e-05,0.0939,-5.798,0.0515,119.997,4
10,This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],2023-10-27,250100,68,0.316,0.471,0.509,0.0,0.0673,-8.796,0.0355,144.071,4
11,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,195700,69,0.0999,0.582,0.788,0.0,0.115,-5.358,0.0445,160.027,4
12,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,271000,70,0.25,0.772,0.391,2.92e-05,0.0981,-8.892,0.0293,103.955,4
13,Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,245566,69,0.00976,0.464,0.705,2.61e-05,0.209,-5.97,0.0434,183.892,4
14,You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,267389,69,0.61,0.363,0.498,3.91e-06,0.112,-9.473,0.0755,84.68,4
15,New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,230177,70,0.00675,0.649,0.846,4.63e-06,0.0824,-5.958,0.0602,121.978,4
16,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],2023-10-27,180381,74,0.309,0.591,0.412,0.000199,0.0608,-13.27,0.0863,155.875,4
17,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023-10-27,279833,73,0.066,0.633,0.551,9.94e-06,0.127,-8.297,0.0341,109.95,4
18,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023-10-27,146436,74,0.16,0.8,0.501,7.14e-05,0.0874,-9.332,0.034,110.013,4
19,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023-10-27,171818,70,0.207,0.701,0.625,0.0,0.105,-8.804,0.036,118.036,4
20,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],2023-10-27,229477,77,0.041,0.595,0.656,0.0,0.122,-7.343,0.037,99.994,4
21,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),1989 (Taylor's Version) [Deluxe],2023-10-27,199773,78,0.0104,0.602,0.648,0.0,0.217,-6.905,0.103,170.091,4
22,Welcome To New York (Taylor's Version),1989 (Taylor's Version),2023-10-26,212600,81,0.00961,0.761,0.607,2.24e-05,0.367,-4.83,0.0312,116.98,4
23,Blank Space (Taylor's Version),1989 (Taylor's Version),2023-10-26,231833,85,0.0976,0.737,0.725,0.0,0.174,-5.417,0.0641,96.012,4
24,Style (Taylor's Version),1989 (Taylor's Version),2023-10-26,231000,86,0.000418,0.575,0.824,0.0214,0.0901,-4.823,0.038,94.971,4
25,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),2023-10-26,235800,82,0.000512,0.547,0.885,9.37e-05,0.39,-5.961,0.0418,91.992,4
26,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),2023-10-26,193289,79,0.000718,0.586,0.72,0.0,0.0949,-5.556,0.035,97.057,4
27,Shake It Off (Taylor's Version),1989 (Taylor's Version),2023-10-26,219209,82,0.0103,0.632,0.807,1.27e-05,0.29,-5.676,0.0738,160.055,4
28,I Wish You Would (Taylor's Version),1989 (Taylor's Version),2023-10-26,207650,78,0.00357,0.669,0.851,1.04e-05,0.0676,-6.526,0.0432,118.026,4
29,Bad Blood (Taylor's Version),1989 (Taylor's Version),2023-10-26,211103,79,0.0385,0.619,0.686,0.0,0.307,-6.369,0.164,169.943,4
30,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),2023-10-26,220433,84,0.0411,0.581,0.672,9.35e-05,0.118,-7.415,0.0739,140.061,4
31,How You Get The Girl (Taylor's Version),1989 (Taylor's Version),2023-10-26,247533,76,0.00209,0.754,0.682,9.88e-06,0.0941,-5.789,0.0565,120.027,4
32,This Love (Taylor’s Version),1989 (Taylor's Version),2023-10-26,250100,77,0.299,0.474,0.511,0.0,0.0673,-8.766,0.0339,144.022,4
33,I Know Places (Taylor's Version),1989 (Taylor's Version),2023-10-26,195700,76,0.087,0.575,0.803,0.0,0.0971,-5.393,0.0465,160.039,4
34,Clean (Taylor's Version),1989 (Taylor's Version),2023-10-26,271000,79,0.276,0.771,0.386,2.01e-05,0.121,-8.917,0.0297,103.96,4
35,Wonderland (Taylor's Version),1989 (Taylor's Version),2023-10-26,245566,76,0.00933,0.462,0.708,1.88e-05,0.198,-5.971,0.0555,183.811,4
36,You Are In Love (Taylor's Version),1989 (Taylor's Version),2023-10-26,267389,77,0.609,0.537,0.495,2.49e-06,0.112,-9.416,0.0573,84.948,4
37,New Romantics (Taylor's Version),1989 (Taylor's Version),2023-10-26,230177,82,0.0068,0.651,0.855,9.81e-06,0.0759,-5.959,0.0538,121.98,4
38,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),2023-10-26,180381,88,0.345,0.629,0.413,7.62e-05,0.0603,-13.178,0.055,77.983,4
39,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,279833,84,0.0656,0.626,0.547,1.67e-05,0.149,-8.285,0.0342,109.946,4
40,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,146436,87,0.186,0.793,0.512,3.81e-05,0.0889,-9.319,0.0338,109.994,4
41,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,171818,78,0.198,0.699,0.621,0.0,0.104,-8.739,0.0369,118.048,4
42,Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),2023-10-26,229477,92,0.0504,0.596,0.658,0.0,0.127,-7.346,0.036,100.012,4
43,Mine (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,231706,82,0.00444,0.646,0.783,1.38e-06,0.171,-2.846,0.0356,121.08,4
44,Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,261230,79,0.0251,0.588,0.758,0.0,0.131,-2.347,0.0305,114.991,4
45,Back To December (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,294189,83,0.00621,0.497,0.635,0.0,0.117,-3.927,0.0273,142.063,4
46,Speak Now (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,242473,77,0.248,0.727,0.677,0.0,0.143,-2.871,0.0325,118.995,4
47,Dear John (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,405906,78,0.0236,0.419,0.47,0.0,0.163,-5.016,0.0296,119.294,3
48,Mean (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,238693,78,0.311,0.524,0.692,0.0,0.192,-3.866,0.0369,163.874,4
49,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,267653,77,0.00192,0.515,0.781,0.0,0.054,-2.608,0.0535,139.846,4
50,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,292920,72,0.851,0.685,0.323,0.0,0.198,-7.103,0.0289,125.058,4
51,Enchanted (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,353253,87,0.012,0.505,0.532,0.0,0.149,-3.526,0.0265,81.907,4
52,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,220306,78,0.000886,0.496,0.885,0.0,0.191,-2.969,0.0803,145.863,4
53,Innocent (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,301221,70,0.101,0.522,0.598,0.0,0.152,-5.327,0.0284,133.627,4
54,Haunted (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,245413,75,0.00667,0.427,0.915,0.0,0.221,-1.909,0.0619,162.201,4
55,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,369120,76,0.447,0.55,0.366,4.43e-06,0.101,-8.46,0.0276,79.401,3
56,Long Live (Taylor's Version),Speak Now (Taylor's Version),2023-07-07,317960,81,0.0122,0.375,0.65,0.0,0.189,-4.031,0.0402,203.89,4
57,Ours (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,235803,73,0.449,0.535,0.488,0.0,0.111,-8.261,0.0278,159.813,4
58,Superman (Taylor’s Version),Speak Now (Taylor's Version),2023-07-07,274945,69,0.0031,0.533,0.742,0.0,0.108,-3.473,0.0303,131.93,4
59,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,266466,75,0.0164,0.547,0.855,0.0,0.144,-4.7,0.0597,131.073,4
60,When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,252385,74,0.159,0.474,0.763,0.0,0.138,-4.632,0.0505,78.133,4
61,I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,273186,83,0.0586,0.694,0.764,0.0,0.0608,-4.893,0.0337,123.044,4
62,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,306062,74,0.362,0.576,0.57,0.0,0.0668,-7.925,0.0434,147.803,4
63,Foolish One (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,311765,76,0.617,0.671,0.588,0.0,0.111,-4.675,0.0299,96.965,4
64,Timeless (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),2023-07-07,321396,76,0.3,0.624,0.585,0.0,0.0916,-5.847,0.0328,142.883,4
65,Lavender Haze,Midnights (The Til Dawn Edition),2023-05-26,202395,71,0.236,0.735,0.454,0.00113,0.133,-10.516,0.0876,97.043,4
66,Maroon,Midnights (The Til Dawn Edition),2023-05-26,218270,71,0.0609,0.65,0.397,1.4e-06,0.089,-8.237,0.0365,108.055,4
67,Anti-Hero,Midnights (The Til Dawn Edition),2023-05-26,200690,71,0.115,0.637,0.649,1.22e-06,0.147,-6.59,0.0584,96.935,4
68,Snow On The Beach (feat. Lana Del Rey),Midnights (The Til Dawn Edition),2023-05-26,256124,69,0.705,0.653,0.331,0.0013,0.116,-13.534,0.039,110.014,4
69,"You're On Your Own, Kid",Midnights (The Til Dawn Edition),2023-05-26,194206,72,0.423,0.694,0.386,1.05e-05,0.126,-10.312,0.0597,120.044,4
70,Midnight Rain,Midnights (The Til Dawn Edition),2023-05-26,174782,71,0.705,0.654,0.372,6.78e-05,0.114,-11.704,0.0667,140.15,4
71,Question...?,Midnights (The Til Dawn Edition),2023-05-26,210556,69,0.205,0.741,0.509,0.0,0.262,-8.747,0.19,108.978,4
72,Vigilante Shit,Midnights (The Til Dawn Edition),2023-05-26,164801,70,0.157,0.867,0.272,3.42e-05,0.118,-11.014,0.363,79.962,4
73,Bejeweled,Midnights (The Til Dawn Edition),2023-05-26,194165,71,0.0648,0.695,0.546,0.000128,0.0883,-9.184,0.066,164.0,4
